Id,Word,Pinyin,English,Book,Lesson,Dialog,NW,PN,OofC,Alternates,Grammar Reference,2019-06-16,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Example,Translation,Instagram Image Created
1,你,nǐ,(singular) you,1,1,1,1,,,,,,,,,,nǐ jīntiān yǒuxīn sī xuéxí ma,你今天有心思学习吗?,Are you in tune for study today?,
2,好,hǎo,"good, fine",1,1,1,2,,,,,,,,,,yào fāyīn hǎo jiù bìxū zìjué dì xuéxí yǔyīn,要发音好就必须自觉地学习语音。,To have a good pronunciation you have to study phonetics conscientiously.,
3,您,nín,(polite) you,1,1,2,3,,HSK 2,,,,,,,,,,,
4,你们,nǐmen,(plural) you,1,1,2,4,,,,,,,,,,qǐng nǐmen yánjiū yīxià,请你们研究一下。,I hope you will study these questions.,
5,对不起,duìbuqǐ,to be sorry,1,1,3,5,,,,,,,,,,duìbuqǐ wěiqu nǐ le,对不起，委屈你了。,Sorry to have troubled you with all such inconvenience.,
6,没关系,méiguānxi,"that's OK, it doesn't matter",1,1,3,6,,,,,,,,,,nǐ rúguǒ chídào yě méiguānxi,你如果迟到也没关系。,It doesn’t matter if you are late.,
7,谢谢,xièxie,to thank,1,2,1,1,,,,,,,,,,xièxie nǐ péngyou,谢谢你，朋友。,"Thank you, [my] friend.",Yes
8,不,bù,"no, not",1,2,1,2,,,,,,,,,,tā yīdiǎnbù ài zuò jiāwù,她一点不爱做家务。,She is not at all domesticated.,
9,不客气,bùkèqi,"you're welcome, don't mention it",1,2,2,3,,,,,,,,,,bùkèqi,不客气。,You are very welcome.,
10,再见,zàijiàn,good bye (lit. see you again),1,2,3,4,,,,,,,,,,zàijiàn Xiǎolín,再见，小林。,"Good-bye, Xiao Lin.",
11,叫,jiào,"to call, to be called",1,3,1,1,,,,,,,,,,wǒ jiào zhēn nī hěn gāoxìng rènshi nǐ,我叫珍妮，很高兴认识你。,My name is Jenny. Nice to meet you.,Yes
12,什么,shénme,what,1,3,1,2,,,,1.3.1,,,,,,xuéxí yī mén wàiyǔ de zuìjiā tújìng shì shénme ne,学习一门外语的最佳途径是什么呢？,Which is the best way to learn a language?,
13,名字,míngzi,name,1,3,1,3,,,,,,,,,,zhèlǐ méiyǒu rén jiào nàge míngzi,这里没有人叫那个名字。,No one lives here by that name.,
14,我,wǒ,"I, me",1,3,1,4,,,,,,,,,,wǒ xiǎng gēn tā tántán wǒ de xīnshuǐ wèntí,我想跟她谈谈我的薪水问题。,I want to speak to her in the matter of my salary.,
15,是,shì,to be,1,3,2,5,,,,1.3.2,,,,,,nǐ shàngxué shí xué de dōu shì nǎxiē yǔyán,你上学时学的都是哪些语言?,Which languages did you study at school?,
16,老师,lǎoshī,teacher,1,3,2,6,,,,,,,,,,nǐ yào rènzhēn tīngqǔ lǎoshī de yìjiàn,你要认真听取老师的意见。,You should listen carefully to [your] teacher's opinions.,Yes
17,吗,ma,question particle,1,3,2,7,,,,1.3.3,,,,,,nǐ xiàng tā qiúhūn le ma,你向她求婚了吗？,Did you ever pop the question to her.,
18,学生,xuésheng,student,1,3,2,8,,,,,,,,,,kǎoshì bùnéng guòfèn dì cuīcù xuésheng,考试不能过份地催促学生。,The exam should not rush the student unduly.,
19,人,rén,"human, person",1,3,3,9,,,,,,,,,,zhè shì zhuàng shì héyú rén jūzhù de fángzi ma,这是幢适合于人居住的房子吗?,Is it a house fit for human habitation?,
20,美国,Měiguó,USA,1,3,3,,3,,,,,,,,,Měiguó yòngfǎ zài mǒuxiē fāngmiàn yǔ Yīngguó yòngfǎ bùtóng,美国用法在某些方面与英国用法不同。,American usage is different from British usage in some respects.,Yes
21,中国,Zhōngguó,China,1,3,3,,2,,,,,,,,,Zhōngguó dōng lín Tàipíng Yáng,中国东临太平洋。,China faces the Pacific on the east.,
22,她,tā,she,1,4,1,1,,,,,,,,,,yīnwèi tā shēngbìng suǒyǐ tā méi lái shàngbān,因为她生病，所以她没来上班。,"Because she was sick, she did not come to work.",
23,谁,shéi,who,1,4,1,2,,,,1.4.1,,,,,,shéi lái dāng cáipàn,谁来当裁判?,Who is going to umpire?,
24,的,de,attribute particle,1,4,1,3,,,,1.4.2,,,,,,tāmen de xuéxí xiǎozǔ zhèngzài huódòng,他们的学习小组正在活动。,Their study group is in motion.,
25,汉语,Hànyǔ,Chinese (language),1,4,1,4,,,,,,,,,,Hànyǔ yǒu sìshēng,汉语有四声。,Chinese has four tones.,Yes
26,哪,nǎ,which,1,4,2,5,,,,,,,,,,zhè liǎng tào yīfu nǐ xǐhuan nǎ yītào,这两套衣服你喜欢哪一套？,Which of these two suits do you like?,Yes
27,国,guó,country,1,4,2,6,,,,,,,,,,hài guó yāng mín,害国殃民,Harm the nation and the country,
28,呢,ne,question particle,1,4,2,7,,,,1.4.3,,,,,,nǐ zěnyàng tiánxiě nǐ de jiǎnlì ne,你怎样填写你的简历呢？,How do you organize your résumé?,
29,他,tā,"he, him",1,4,3,8,,,,,,,,,,tīngdào tā bìng le wǒ hěn nánguò,听到他病了，我很难过。,I' m sorry to learn of his illness.,
30,同学,tóngxué,classmate,1,4,3,9,,,,,,,,,,wǒ de tóngxué shíbā suì,我的同学十八岁。,My classmate is eighteen.,
31,朋友,péngyou,friend,1,4,3,10,,,,,,,,,,tā zhíjiē dào péngyou nàr qǐngqiú bāngzhù,他直接到朋友那儿请求帮助。,He went straight to his friend to ask for help,
32,家,jiā,family,1,5,1,1,,,,,,,,,,tāmen jiā wǎncān chī kǎo zhūròu,他们家晚餐吃烤猪肉。,The family had roast pork for dinner.,
33,有,yǒu,"to have, there is/are",1,5,1,2,,,,,,,,,,yǒu yībùfèn nánhái xuéxí hěn nǔlì,有一部分男孩学习很努力。,Some of the boys study hard.,
34,口,kǒu,measure word for counting people in a household,1,5,1,3,,HSK 3,,,,,,,,,,,
35,女儿,nǚ'ér,daughter,1,5,2,4,,,,,,,,,,wǒ nǚ'ér kù'ài huáxuě,我女儿酷爱滑雪。,My daughter loved skiing.,
36,几,jǐ,how many,1,5,2,5,,,,1.5.1,,,,,,nǐ zhuō le jǐ tiáo yú,你捉了几条鱼?,How many fish did you catch?,
37,岁,suì,years old,1,5,2,6,,,,,,,,,,nǐ jǐsuì le,你几岁了？,How old are you?,Yes
38,了,le,particle to indicate change,1,5,2,7,,,,1.5.3,,,,,,tāmen zǐxì zhìdìng le xuéxí jìhuà,他们仔细制订了学习计划。,They elaborated a plan of study.,
39,今年,jīnnián,this year,1,5,2,8,,,,,,,,,,wǒ pànwàng jīnnián shǔjià jiàndào nǐ,我盼望今年暑假见到你。,I' m looking forward to seeing you this summer vacation.,
40,多,duō,"how (asking degree, as in 'how old')",1,5,3,9,,,,1.5.4 “多大”,,,,,,tā yǒu duō gāo,他有多高？,How tall is he?,
41,大,dà,old (as in 'how old),1,5,3,10,,,,1.5.4 “多大”,,,,,,nǐ duōdà le,你多大了？?,Could you tell me how old you are?,
42,会,huì,"can, to know how",1,6,1,1,,,,1.6.1,,,,,,tā huì kāichē dàn tā bùhuì dǎzì,他会开车，但他不会打字。,"He can drive, but he can not type.",
43,说,shuō,"to speak, to say",1,6,1,2,,,,,,,,,,hǎo jiǔ néng shǐ rén shuō zhēn huà,好酒能使人说真话。,Good ale will make a cat speak.,
44,妈妈,māma,mother,1,6,1,3,,,,,,,,,,māma yīnwèi tā tiáopí dǎ tā pìgu,妈妈因为她调皮打她屁股。,Mother spanked her for being naughty.,
45,菜,cài,"dish, food",1,6,2,4,,,,,,,,,,zhège cài xià fàn,这个菜下饭。,This dish goes well with rice.,
